Файл;Проблема
lv/aksesuari.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/aksesuari.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
lv/darbi.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/darbi.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
lv/interneta-veikals.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/interneta-veikals.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
lv/moskitu-tikli-slidamie.html;ru link points to missing file: ../ru/moskitnye-setki-sdvizhnye.html
lv/palodzes.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/palodzes.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
lv/pleve.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/pleve.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
lv/privatuma-politika.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/privatuma-politika.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
lv/raksti.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/raksti.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
lv/raksts-kondensats-apkure.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/raksts-kondensats-apkure.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
lv/raksts-stikla-parbaude.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/raksts-stikla-parbaude.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
lv/raksts-termoshok.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/raksts-termoshok.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
lv/raksts-vajas-vietas.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/raksts-vajas-vietas.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
lv/registracija.html;en link points to homepage (../en/index.html) instead of equivalent page -- SUSPECTED BUG
lv/registracija.html;ru link points to homepage (../ru/index.html) instead of equivalent page -- SUSPECTED BUG
